,0,1
0,[[0.6700935]],[[0.6243402]]
1,[[-1.0464985]],[[-1.0365818]]
2,[[0.53816134]],[[0.56690013]]
3,[[-0.70929766]],[[-0.78608394]]
4,[[1.0214826]],[[0.95138705]]
5,[[1.564505]],[[1.5346242]]
6,[[-0.3260311]],[[-0.40695727]]
7,[[-1.1581618]],[[-1.2282029]]
8,[[-0.5416185]],[[-0.6269854]]
9,[[1.4631604]],[[1.4318155]]
10,[[-1.1810104]],[[-1.188045]]
11,[[-0.99766886]],[[-0.9923763]]
12,[[0.88586515]],[[0.80333054]]
13,[[1.5127271]],[[1.4761392]]
14,[[0.5840427]],[[0.598544]]
15,[[-1.3803827]],[[-1.379427]]
16,[[1.1913729]],[[1.1530915]]
17,[[-1.1017773]],[[-1.1798767]]
18,[[-1.003381]],[[-1.0739882]]
19,[[-1.0944068]],[[-1.1819453]]
20,[[1.0411987]],[[0.95990384]]
21,[[-0.16756509]],[[9.393692e-05]]
22,[[0.60873395]],[[0.6291107]]
23,[[2.0896537]],[[2.0862656]]
24,[[0.7467468]],[[0.7473241]]
25,[[-1.0262296]],[[-1.0966318]]
26,[[-0.43658873]],[[-0.48206007]]
27,[[0.8958154]],[[1.0016612]]
28,[[1.1020054]],[[1.0474061]]
29,[[-1.0665832]],[[-1.1527712]]
30,[[-1.1826687]],[[-1.2694477]]
31,[[-0.5799452]],[[-0.5129941]]
32,[[-0.27628013]],[[-0.329113]]
33,[[0.6916522]],[[0.7531041]]
34,[[0.8864179]],[[0.82824385]]
35,[[0.57317126]],[[0.6261095]]
36,[[-0.5471464]],[[-0.53767085]]
37,[[-1.115597]],[[-1.125608]]
38,[[0.5748296]],[[0.5738059]]
39,[[1.8637477]],[[1.8514332]]
40,[[1.6916462]],[[1.6037885]]
41,[[-1.150607]],[[-1.1452241]]
42,[[-0.8917178]],[[-0.97555727]]
43,[[-0.21621047]],[[-0.23835576]]
44,[[-0.39144436]],[[-0.46115184]]
45,[[-0.9119867]],[[-0.92626]]
46,[[1.2639724]],[[1.1670648]]
47,[[-0.80879956]],[[-0.84850025]]
48,[[-1.1692175]],[[-1.1696367]]
49,[[1.687961]],[[1.6431724]]
50,[[-0.28365064]],[[-0.30201447]]
51,[[0.7030765]],[[0.6620227]]
52,[[-0.4813646]],[[-0.5008445]]
53,[[-1.1664536]],[[-1.2256594]]
54,[[2.2591755]],[[2.2528253]]
55,[[0.40549213]],[[0.29850328]]
56,[[-0.1012305]],[[-0.07339585]]
57,[[-0.5075299]],[[-0.57971156]]
58,[[-0.79203165]],[[-0.8494653]]
59,[[1.1331458]],[[1.10469]]
60,[[-1.0796658]],[[-1.1047536]]
61,[[0.9623342]],[[0.9348649]]
62,[[1.1425432]],[[1.086713]]
63,[[0.91037214]],[[0.87130773]]
64,[[-0.12702729]],[[-0.16758525]]
65,[[0.7157906]],[[0.646824]]
66,[[-1.3319216]],[[-1.343779]]
67,[[-0.45335665]],[[-0.46020484]]
68,[[-0.27130502]],[[-0.33081388]]
69,[[0.7777029]],[[0.7073382]]
70,[[0.7800983]],[[0.7308558]]
