,0,1
0,[[0.6700935]],[[0.6183189]]
1,[[-1.0464985]],[[-1.0527282]]
2,[[0.53816134]],[[0.59430134]]
3,[[-0.70929766]],[[-0.7732577]]
4,[[1.0214826]],[[0.9489721]]
5,[[1.564505]],[[1.5317265]]
6,[[-0.3260311]],[[-0.39015234]]
7,[[-1.1581618]],[[-1.2100015]]
8,[[-0.5416185]],[[-0.61627793]]
9,[[1.4631604]],[[1.3734344]]
10,[[-1.1810104]],[[-1.2137542]]
11,[[-0.99766886]],[[-1.0134195]]
12,[[0.88586515]],[[0.80425274]]
13,[[1.5127271]],[[1.4676517]]
14,[[0.5840427]],[[0.5901052]]
15,[[-1.3803827]],[[-1.397191]]
16,[[1.1913729]],[[1.1413606]]
17,[[-1.1017773]],[[-1.1638172]]
18,[[-1.003381]],[[-1.0805328]]
19,[[-1.0944068]],[[-1.1950076]]
20,[[1.0411987]],[[0.9749876]]
21,[[-0.16756509]],[[-0.07494521]]
22,[[0.60873395]],[[0.62641203]]
23,[[2.0896537]],[[2.0864902]]
24,[[0.7467468]],[[0.76648796]]
25,[[-1.0262296]],[[-1.0495305]]
26,[[-0.43658873]],[[-0.5106125]]
27,[[0.8958154]],[[0.96501434]]
28,[[1.1020054]],[[1.0448788]]
29,[[-1.0665832]],[[-1.1405218]]
30,[[-1.1826687]],[[-1.2837924]]
31,[[-0.5799452]],[[-0.50935435]]
32,[[-0.27628013]],[[-0.2690649]]
33,[[0.6916522]],[[0.7687248]]
34,[[0.8864179]],[[0.82941806]]
35,[[0.57317126]],[[0.6373373]]
36,[[-0.5471464]],[[-0.5072863]]
37,[[-1.115597]],[[-1.1388583]]
38,[[0.5748296]],[[0.5773598]]
39,[[1.8637477]],[[1.8262368]]
40,[[1.6916462]],[[1.5921229]]
41,[[-1.150607]],[[-1.1246405]]
42,[[-0.8917178]],[[-0.9858996]]
43,[[-0.21621047]],[[-0.2354616]]
44,[[-0.39144436]],[[-0.45737052]]
45,[[-0.9119867]],[[-0.9463515]]
46,[[1.2639724]],[[1.1892563]]
47,[[-0.80879956]],[[-0.8196491]]
48,[[-1.1692175]],[[-1.1919101]]
49,[[1.687961]],[[1.6355788]]
50,[[-0.28365064]],[[-0.29030502]]
51,[[0.7030765]],[[0.63370955]]
52,[[-0.4813646]],[[-0.49224544]]
53,[[-1.1664536]],[[-1.1990771]]
54,[[2.2591755]],[[2.2455888]]
55,[[0.40549213]],[[0.29754984]]
56,[[-0.1012305]],[[-0.07168663]]
57,[[-0.5075299]],[[-0.6043087]]
58,[[-0.79203165]],[[-0.84930927]]
59,[[1.1331458]],[[1.112929]]
60,[[-1.0796658]],[[-1.0774572]]
61,[[0.9623342]],[[0.9296514]]
62,[[1.1425432]],[[1.1910504]]
63,[[0.91037214]],[[0.88073623]]
64,[[-0.12702729]],[[-0.11009014]]
65,[[0.7157906]],[[0.66738284]]
66,[[-1.3319216]],[[-1.3765417]]
67,[[-0.45335665]],[[-0.4626615]]
68,[[-0.27130502]],[[-0.33239067]]
69,[[0.7777029]],[[0.71347487]]
70,[[0.7800983]],[[0.7176684]]
