,0,1
0,[[0.6700935]],[[0.5957881]]
1,[[-1.0464985]],[[-0.99045956]]
2,[[0.53816134]],[[0.5984858]]
3,[[-0.70929766]],[[-0.7121293]]
4,[[1.0214826]],[[0.91162837]]
5,[[1.564505]],[[1.5581633]]
6,[[-0.3260311]],[[-0.37333763]]
7,[[-1.1581618]],[[-1.1919558]]
8,[[-0.5416185]],[[-0.55897415]]
9,[[1.4631604]],[[1.4995371]]
10,[[-1.1810104]],[[-1.1529093]]
11,[[-0.99766886]],[[-0.9255946]]
12,[[0.88586515]],[[0.80911434]]
13,[[1.5127271]],[[1.4616953]]
14,[[0.5840427]],[[0.50405157]]
15,[[-1.3803827]],[[-1.4640601]]
16,[[1.1913729]],[[1.1302148]]
17,[[-1.1017773]],[[-1.1497655]]
18,[[-1.003381]],[[-1.0526422]]
19,[[-1.0944068]],[[-1.1378255]]
20,[[1.0411987]],[[1.0031916]]
21,[[-0.16756509]],[[-0.270491]]
22,[[0.60873395]],[[0.7241241]]
23,[[2.0896537]],[[2.1205602]]
24,[[0.7467468]],[[0.8308147]]
25,[[-1.0262296]],[[-1.0351553]]
26,[[-0.43658873]],[[-0.56199634]]
27,[[0.8958154]],[[0.95197093]]
28,[[1.1020054]],[[1.0919245]]
29,[[-1.0665832]],[[-1.0931898]]
30,[[-1.1826687]],[[-1.287144]]
31,[[-0.5799452]],[[-0.49223208]]
32,[[-0.27628013]],[[-0.21681309]]
33,[[0.6916522]],[[0.6989213]]
34,[[0.8864179]],[[0.85482204]]
35,[[0.57317126]],[[0.58324134]]
36,[[-0.5471464]],[[-0.4814409]]
37,[[-1.115597]],[[-1.1442807]]
38,[[0.5748296]],[[0.53609884]]
39,[[1.8637477]],[[1.8609005]]
40,[[1.6916462]],[[1.5554858]]
41,[[-1.150607]],[[-0.97433615]]
42,[[-0.8917178]],[[-0.9274376]]
43,[[-0.21621047]],[[-0.19035983]]
44,[[-0.39144436]],[[-0.43413115]]
45,[[-0.9119867]],[[-0.9321513]]
46,[[1.2639724]],[[1.3102776]]
47,[[-0.80879956]],[[-0.81063694]]
48,[[-1.1692175]],[[-1.1472384]]
49,[[1.687961]],[[1.6974288]]
50,[[-0.28365064]],[[-0.35395837]]
51,[[0.7030765]],[[0.62367857]]
52,[[-0.4813646]],[[-0.46032405]]
53,[[-1.1664536]],[[-1.1671413]]
54,[[2.2591755]],[[2.2694612]]
55,[[0.40549213]],[[0.38149548]]
56,[[-0.1012305]],[[0.04332685]]
57,[[-0.5075299]],[[-0.48857617]]
58,[[-0.79203165]],[[-0.8242]]
59,[[1.1331458]],[[1.1307997]]
60,[[-1.0796658]],[[-1.0592471]]
61,[[0.9623342]],[[0.9250299]]
62,[[1.1425432]],[[1.2319778]]
63,[[0.91037214]],[[0.930796]]
64,[[-0.12702729]],[[-0.12938678]]
65,[[0.7157906]],[[0.77656305]]
66,[[-1.3319216]],[[-1.3148913]]
67,[[-0.45335665]],[[-0.46888304]]
68,[[-0.27130502]],[[-0.31688154]]
69,[[0.7777029]],[[0.7205373]]
70,[[0.7800983]],[[0.74996126]]
