,0,1
0,[[0.6700935]],[[0.59550023]]
1,[[-1.0464985]],[[-0.98601973]]
2,[[0.53816134]],[[0.5983889]]
3,[[-0.70929766]],[[-0.71962804]]
4,[[1.0214826]],[[0.909389]]
5,[[1.564505]],[[1.5498819]]
6,[[-0.3260311]],[[-0.37837756]]
7,[[-1.1581618]],[[-1.1974704]]
8,[[-0.5416185]],[[-0.55820477]]
9,[[1.4631604]],[[1.4962206]]
10,[[-1.1810104]],[[-1.1485598]]
11,[[-0.99766886]],[[-0.9157831]]
12,[[0.88586515]],[[0.8034644]]
13,[[1.5127271]],[[1.4526277]]
14,[[0.5840427]],[[0.5206909]]
15,[[-1.3803827]],[[-1.445973]]
16,[[1.1913729]],[[1.1346123]]
17,[[-1.1017773]],[[-1.1473588]]
18,[[-1.003381]],[[-1.0508109]]
19,[[-1.0944068]],[[-1.1332257]]
20,[[1.0411987]],[[0.99464417]]
21,[[-0.16756509]],[[-0.26150596]]
22,[[0.60873395]],[[0.74022007]]
23,[[2.0896537]],[[2.1151621]]
24,[[0.7467468]],[[0.8362024]]
25,[[-1.0262296]],[[-1.0385697]]
26,[[-0.43658873]],[[-0.5610249]]
27,[[0.8958154]],[[0.9626162]]
28,[[1.1020054]],[[1.0813622]]
29,[[-1.0665832]],[[-1.0918536]]
30,[[-1.1826687]],[[-1.2965299]]
31,[[-0.5799452]],[[-0.4926921]]
32,[[-0.27628013]],[[-0.21146607]]
33,[[0.6916522]],[[0.70145345]]
34,[[0.8864179]],[[0.8514602]]
35,[[0.57317126]],[[0.5892341]]
36,[[-0.5471464]],[[-0.4738474]]
37,[[-1.115597]],[[-1.1320503]]
38,[[0.5748296]],[[0.5431547]]
39,[[1.8637477]],[[1.8606327]]
40,[[1.6916462]],[[1.5551331]]
41,[[-1.150607]],[[-0.99423116]]
42,[[-0.8917178]],[[-0.92300856]]
43,[[-0.21621047]],[[-0.18624604]]
44,[[-0.39144436]],[[-0.43024135]]
45,[[-0.9119867]],[[-0.9280152]]
46,[[1.2639724]],[[1.2786131]]
47,[[-0.80879956]],[[-0.804809]]
48,[[-1.1692175]],[[-1.1478796]]
49,[[1.687961]],[[1.684988]]
50,[[-0.28365064]],[[-0.31855428]]
51,[[0.7030765]],[[0.618392]]
52,[[-0.4813646]],[[-0.46225798]]
53,[[-1.1664536]],[[-1.1595101]]
54,[[2.2591755]],[[2.2642994]]
55,[[0.40549213]],[[0.38807905]]
56,[[-0.1012305]],[[0.02518678]]
57,[[-0.5075299]],[[-0.50586236]]
58,[[-0.79203165]],[[-0.8261132]]
59,[[1.1331458]],[[1.1404018]]
60,[[-1.0796658]],[[-1.0523851]]
61,[[0.9623342]],[[0.92303896]]
62,[[1.1425432]],[[1.2425456]]
63,[[0.91037214]],[[0.924309]]
64,[[-0.12702729]],[[-0.13333392]]
65,[[0.7157906]],[[0.74699235]]
66,[[-1.3319216]],[[-1.3210468]]
67,[[-0.45335665]],[[-0.49117327]]
68,[[-0.27130502]],[[-0.3089428]]
69,[[0.7777029]],[[0.71651626]]
70,[[0.7800983]],[[0.7535906]]
