,0,1
0,[[0.6700935]],[[0.60652304]]
1,[[-1.0464985]],[[-0.99359775]]
2,[[0.53816134]],[[0.6084099]]
3,[[-0.70929766]],[[-0.7253291]]
4,[[1.0214826]],[[0.93793774]]
5,[[1.564505]],[[1.5925035]]
6,[[-0.3260311]],[[-0.37832975]]
7,[[-1.1581618]],[[-1.1955273]]
8,[[-0.5416185]],[[-0.5575638]]
9,[[1.4631604]],[[1.4394283]]
10,[[-1.1810104]],[[-1.1899444]]
11,[[-0.99766886]],[[-0.94856554]]
12,[[0.88586515]],[[0.81286263]]
13,[[1.5127271]],[[1.4494779]]
14,[[0.5840427]],[[0.5733197]]
15,[[-1.3803827]],[[-1.43483]]
16,[[1.1913729]],[[1.1752436]]
17,[[-1.1017773]],[[-1.1560469]]
18,[[-1.003381]],[[-1.0575106]]
19,[[-1.0944068]],[[-1.141746]]
20,[[1.0411987]],[[1.0152915]]
21,[[-0.16756509]],[[-0.8015859]]
22,[[0.60873395]],[[0.6333821]]
23,[[2.0896537]],[[2.1321123]]
24,[[0.7467468]],[[0.8268275]]
25,[[-1.0262296]],[[-1.0334828]]
26,[[-0.43658873]],[[-0.5692359]]
27,[[0.8958154]],[[0.96412945]]
28,[[1.1020054]],[[1.0945058]]
29,[[-1.0665832]],[[-1.0946348]]
30,[[-1.1826687]],[[-1.2623365]]
31,[[-0.5799452]],[[-0.50639224]]
32,[[-0.27628013]],[[-0.26257956]]
33,[[0.6916522]],[[0.693588]]
34,[[0.8864179]],[[0.8394718]]
35,[[0.57317126]],[[0.60392475]]
36,[[-0.5471464]],[[-0.4668355]]
37,[[-1.115597]],[[-1.1093729]]
38,[[0.5748296]],[[0.5538573]]
39,[[1.8637477]],[[1.8452809]]
40,[[1.6916462]],[[1.5756118]]
41,[[-1.150607]],[[-1.0274987]]
42,[[-0.8917178]],[[-0.93365586]]
43,[[-0.21621047]],[[-0.19949019]]
44,[[-0.39144436]],[[-0.4391867]]
45,[[-0.9119867]],[[-0.89028233]]
46,[[1.2639724]],[[1.2377133]]
47,[[-0.80879956]],[[-0.80931556]]
48,[[-1.1692175]],[[-1.1459548]]
49,[[1.687961]],[[1.689431]]
50,[[-0.28365064]],[[-0.36954474]]
51,[[0.7030765]],[[0.63429785]]
52,[[-0.4813646]],[[-0.48265576]]
53,[[-1.1664536]],[[-1.1566911]]
54,[[2.2591755]],[[2.27452]]
55,[[0.40549213]],[[0.3904606]]
56,[[-0.1012305]],[[0.03281367]]
57,[[-0.5075299]],[[-0.48994386]]
58,[[-0.79203165]],[[-0.81046456]]
59,[[1.1331458]],[[1.124938]]
60,[[-1.0796658]],[[-1.0423484]]
61,[[0.9623342]],[[0.92226386]]
62,[[1.1425432]],[[1.2205625]]
63,[[0.91037214]],[[0.9365094]]
64,[[-0.12702729]],[[-0.13167715]]
65,[[0.7157906]],[[0.7605405]]
66,[[-1.3319216]],[[-1.3203946]]
67,[[-0.45335665]],[[-0.4558549]]
68,[[-0.27130502]],[[-0.31651998]]
69,[[0.7777029]],[[0.7413349]]
70,[[0.7800983]],[[0.7588365]]
