,0,1
0,[[0.6700935]],[[0.6043155]]
1,[[-1.0464985]],[[-1.0720644]]
2,[[0.53816134]],[[0.56222653]]
3,[[-0.70929766]],[[-0.7930467]]
4,[[1.0214826]],[[0.93412757]]
5,[[1.564505]],[[1.5212159]]
6,[[-0.3260311]],[[-0.4124596]]
7,[[-1.1581618]],[[-1.2273502]]
8,[[-0.5416185]],[[-0.6299384]]
9,[[1.4631604]],[[1.422997]]
10,[[-1.1810104]],[[-1.1932931]]
11,[[-0.99766886]],[[-1.0125257]]
12,[[0.88586515]],[[0.7959058]]
13,[[1.5127271]],[[1.4605608]]
14,[[0.5840427]],[[0.58336115]]
15,[[-1.3803827]],[[-1.3878913]]
16,[[1.1913729]],[[1.1337597]]
17,[[-1.1017773]],[[-1.1854912]]
18,[[-1.003381]],[[-1.0930926]]
19,[[-1.0944068]],[[-1.213807]]
20,[[1.0411987]],[[0.95086336]]
21,[[-0.16756509]],[[-0.01903605]]
22,[[0.60873395]],[[0.6137223]]
23,[[2.0896537]],[[2.066998]]
24,[[0.7467468]],[[0.7397485]]
25,[[-1.0262296]],[[-1.0986776]]
26,[[-0.43658873]],[[-0.50613606]]
27,[[0.8958154]],[[0.9847677]]
28,[[1.1020054]],[[1.036962]]
29,[[-1.0665832]],[[-1.1559789]]
30,[[-1.1826687]],[[-1.2892618]]
31,[[-0.5799452]],[[-0.5090978]]
32,[[-0.27628013]],[[-0.330063]]
33,[[0.6916522]],[[0.74260664]]
34,[[0.8864179]],[[0.8137119]]
35,[[0.57317126]],[[0.60931444]]
36,[[-0.5471464]],[[-0.5593031]]
37,[[-1.115597]],[[-1.1405544]]
38,[[0.5748296]],[[0.5440669]]
39,[[1.8637477]],[[1.8406446]]
40,[[1.6916462]],[[1.589062]]
41,[[-1.150607]],[[-1.1551027]]
42,[[-0.8917178]],[[-0.97744274]]
43,[[-0.21621047]],[[-0.25151646]]
44,[[-0.39144436]],[[-0.46507454]]
45,[[-0.9119867]],[[-0.92489475]]
46,[[1.2639724]],[[1.1579242]]
47,[[-0.80879956]],[[-0.8502163]]
48,[[-1.1692175]],[[-1.1936378]]
49,[[1.687961]],[[1.6330929]]
50,[[-0.28365064]],[[-0.3073368]]
51,[[0.7030765]],[[0.65713596]]
52,[[-0.4813646]],[[-0.5111537]]
53,[[-1.1664536]],[[-1.2386723]]
54,[[2.2591755]],[[2.2327669]]
55,[[0.40549213]],[[0.2837547]]
56,[[-0.1012305]],[[-0.08071208]]
57,[[-0.5075299]],[[-0.6100708]]
58,[[-0.79203165]],[[-0.8513406]]
59,[[1.1331458]],[[1.0975931]]
60,[[-1.0796658]],[[-1.1047254]]
61,[[0.9623342]],[[0.9142468]]
62,[[1.1425432]],[[1.0851543]]
63,[[0.91037214]],[[0.8604007]]
64,[[-0.12702729]],[[-0.17849708]]
65,[[0.7157906]],[[0.6464176]]
66,[[-1.3319216]],[[-1.3715214]]
67,[[-0.45335665]],[[-0.48790145]]
68,[[-0.27130502]],[[-0.35606134]]
69,[[0.7777029]],[[0.69771147]]
70,[[0.7800983]],[[0.71622014]]
