,0,1
0,[[0.6700935]],[[0.6273855]]
1,[[-1.0464985]],[[-1.0123708]]
2,[[0.53816134]],[[0.49425578]]
3,[[-0.70929766]],[[-0.75320125]]
4,[[1.0214826]],[[0.9903873]]
5,[[1.564505]],[[1.5518075]]
6,[[-0.3260311]],[[-0.3908469]]
7,[[-1.1581618]],[[-1.1982065]]
8,[[-0.5416185]],[[-0.61363596]]
9,[[1.4631604]],[[1.3372737]]
10,[[-1.1810104]],[[-1.1606468]]
11,[[-0.99766886]],[[-0.96636033]]
12,[[0.88586515]],[[0.8321661]]
13,[[1.5127271]],[[1.4933113]]
14,[[0.5840427]],[[0.62447095]]
15,[[-1.3803827]],[[-1.2103373]]
16,[[1.1913729]],[[1.1423572]]
17,[[-1.1017773]],[[-1.1563836]]
18,[[-1.003381]],[[-1.0412723]]
19,[[-1.0944068]],[[-1.1610799]]
20,[[1.0411987]],[[0.97674]]
21,[[-0.16756509]],[[0.07859659]]
22,[[0.60873395]],[[0.6649754]]
23,[[2.0896537]],[[2.1119046]]
24,[[0.7467468]],[[0.75137067]]
25,[[-1.0262296]],[[-1.0783731]]
26,[[-0.43658873]],[[-0.47556162]]
27,[[0.8958154]],[[0.99389803]]
28,[[1.1020054]],[[1.0666748]]
29,[[-1.0665832]],[[-1.1332604]]
30,[[-1.1826687]],[[-1.2103373]]
31,[[-0.5799452]],[[-0.5088346]]
32,[[-0.27628013]],[[-0.31217164]]
33,[[0.6916522]],[[0.7714925]]
34,[[0.8864179]],[[0.87613666]]
35,[[0.57317126]],[[0.6534686]]
36,[[-0.5471464]],[[-0.53256065]]
37,[[-1.115597]],[[-1.1003263]]
38,[[0.5748296]],[[0.5879437]]
39,[[1.8637477]],[[1.784213]]
40,[[1.6916462]],[[1.6159605]]
41,[[-1.150607]],[[-1.1220132]]
42,[[-0.8917178]],[[-0.9729073]]
43,[[-0.21621047]],[[-0.2102164]]
44,[[-0.39144436]],[[-0.44217044]]
45,[[-0.9119867]],[[-0.96235836]]
46,[[1.2639724]],[[1.1860822]]
47,[[-0.80879956]],[[-0.82193804]]
48,[[-1.1692175]],[[-1.1430079]]
49,[[1.687961]],[[1.6581887]]
50,[[-0.28365064]],[[-0.39418995]]
51,[[0.7030765]],[[0.6337973]]
52,[[-0.4813646]],[[-0.45521832]]
53,[[-1.1664536]],[[-1.178099]]
54,[[2.2591755]],[[2.288003]]
55,[[0.40549213]],[[0.32762015]]
56,[[-0.1012305]],[[-0.05685461]]
57,[[-0.5075299]],[[-0.56686026]]
58,[[-0.79203165]],[[-0.82715666]]
59,[[1.1331458]],[[1.100701]]
60,[[-1.0796658]],[[-1.0762128]]
61,[[0.9623342]],[[0.93992007]]
62,[[1.1425432]],[[1.1093966]]
63,[[0.91037214]],[[0.89977133]]
64,[[-0.12702729]],[[-0.15341759]]
65,[[0.7157906]],[[0.64397466]]
66,[[-1.3319216]],[[-1.2103373]]
67,[[-0.45335665]],[[-0.4430852]]
68,[[-0.27130502]],[[-0.3053397]]
69,[[0.7777029]],[[0.72804785]]
70,[[0.7800983]],[[0.69934547]]
