,0,1
0,[[0.6700935]],[[0.6089953]]
1,[[-1.0464985]],[[-1.0290605]]
2,[[0.53816134]],[[0.57829964]]
3,[[-0.70929766]],[[-0.7851646]]
4,[[1.0214826]],[[0.9362837]]
5,[[1.564505]],[[1.5203227]]
6,[[-0.3260311]],[[-0.411543]]
7,[[-1.1581618]],[[-1.2182814]]
8,[[-0.5416185]],[[-0.6210784]]
9,[[1.4631604]],[[1.4245974]]
10,[[-1.1810104]],[[-1.1911505]]
11,[[-0.99766886]],[[-1.0016487]]
12,[[0.88586515]],[[0.8005587]]
13,[[1.5127271]],[[1.457584]]
14,[[0.5840427]],[[0.5883697]]
15,[[-1.3803827]],[[-1.3812801]]
16,[[1.1913729]],[[1.1344675]]
17,[[-1.1017773]],[[-1.1744409]]
18,[[-1.003381]],[[-1.0832297]]
19,[[-1.0944068]],[[-1.1745107]]
20,[[1.0411987]],[[0.9557401]]
21,[[-0.16756509]],[[-0.02178848]]
22,[[0.60873395]],[[0.6176032]]
23,[[2.0896537]],[[2.0732856]]
24,[[0.7467468]],[[0.7497839]]
25,[[-1.0262296]],[[-1.0870211]]
26,[[-0.43658873]],[[-0.47109222]]
27,[[0.8958154]],[[0.9919187]]
28,[[1.1020054]],[[1.0416647]]
29,[[-1.0665832]],[[-1.1450903]]
30,[[-1.1826687]],[[-1.2767968]]
31,[[-0.5799452]],[[-0.50001335]]
32,[[-0.27628013]],[[-0.30615902]]
33,[[0.6916522]],[[0.7483443]]
34,[[0.8864179]],[[0.8149406]]
35,[[0.57317126]],[[0.61965215]]
36,[[-0.5471464]],[[-0.5299076]]
37,[[-1.115597]],[[-1.1348313]]
38,[[0.5748296]],[[0.5396179]]
39,[[1.8637477]],[[1.8456424]]
40,[[1.6916462]],[[1.5859519]]
41,[[-1.150607]],[[-1.1445322]]
42,[[-0.8917178]],[[-0.9741507]]
43,[[-0.21621047]],[[-0.2415762]]
44,[[-0.39144436]],[[-0.46721053]]
45,[[-0.9119867]],[[-0.9101945]]
46,[[1.2639724]],[[1.1782838]]
47,[[-0.80879956]],[[-0.84532696]]
48,[[-1.1692175]],[[-1.185998]]
49,[[1.687961]],[[1.6324192]]
50,[[-0.28365064]],[[-0.30375338]]
51,[[0.7030765]],[[0.6687473]]
52,[[-0.4813646]],[[-0.5069215]]
53,[[-1.1664536]],[[-1.229286]]
54,[[2.2591755]],[[2.2331696]]
55,[[0.40549213]],[[0.28995872]]
56,[[-0.1012305]],[[-0.05212319]]
57,[[-0.5075299]],[[-0.594753]]
58,[[-0.79203165]],[[-0.8406635]]
59,[[1.1331458]],[[1.1046029]]
60,[[-1.0796658]],[[-1.0988514]]
61,[[0.9623342]],[[0.9180137]]
62,[[1.1425432]],[[1.0905839]]
63,[[0.91037214]],[[0.8673471]]
64,[[-0.12702729]],[[-0.15067911]]
65,[[0.7157906]],[[0.6548077]]
66,[[-1.3319216]],[[-1.3586075]]
67,[[-0.45335665]],[[-0.47677302]]
68,[[-0.27130502]],[[-0.34903514]]
69,[[0.7777029]],[[0.70463455]]
70,[[0.7800983]],[[0.7205652]]
