,0,1
0,[[0.6700935]],[[0.6111777]]
1,[[-1.0464985]],[[-1.0295863]]
2,[[0.53816134]],[[0.5755038]]
3,[[-0.70929766]],[[-0.7791482]]
4,[[1.0214826]],[[0.94645]]
5,[[1.564505]],[[1.5330887]]
6,[[-0.3260311]],[[-0.40450823]]
7,[[-1.1581618]],[[-1.2143049]]
8,[[-0.5416185]],[[-0.61077255]]
9,[[1.4631604]],[[1.428575]]
10,[[-1.1810104]],[[-1.189013]]
11,[[-0.99766886]],[[-0.9946692]]
12,[[0.88586515]],[[0.80921125]]
13,[[1.5127271]],[[1.4675865]]
14,[[0.5840427]],[[0.59612083]]
15,[[-1.3803827]],[[-1.375357]]
16,[[1.1913729]],[[1.1412635]]
17,[[-1.1017773]],[[-1.1696072]]
18,[[-1.003381]],[[-1.0750098]]
19,[[-1.0944068]],[[-1.176406]]
20,[[1.0411987]],[[0.967659]]
21,[[-0.16756509]],[[-0.02773809]]
22,[[0.60873395]],[[0.6278856]]
23,[[2.0896537]],[[2.097186]]
24,[[0.7467468]],[[0.76138973]]
25,[[-1.0262296]],[[-1.0750042]]
26,[[-0.43658873]],[[-0.46879542]]
27,[[0.8958154]],[[0.99392676]]
28,[[1.1020054]],[[1.0550463]]
29,[[-1.0665832]],[[-1.138171]]
30,[[-1.1826687]],[[-1.2692362]]
31,[[-0.5799452]],[[-0.4900633]]
32,[[-0.27628013]],[[-0.2995087]]
33,[[0.6916522]],[[0.76361775]]
34,[[0.8864179]],[[0.8248775]]
35,[[0.57317126]],[[0.64688015]]
36,[[-0.5471464]],[[-0.52359354]]
37,[[-1.115597]],[[-1.1275012]]
38,[[0.5748296]],[[0.54216766]]
39,[[1.8637477]],[[1.8446872]]
40,[[1.6916462]],[[1.5969603]]
41,[[-1.150607]],[[-1.1381056]]
42,[[-0.8917178]],[[-0.9647108]]
43,[[-0.21621047]],[[-0.2316165]]
44,[[-0.39144436]],[[-0.4613986]]
45,[[-0.9119867]],[[-0.90602154]]
46,[[1.2639724]],[[1.1856513]]
47,[[-0.80879956]],[[-0.8409045]]
48,[[-1.1692175]],[[-1.1795074]]
49,[[1.687961]],[[1.6435025]]
50,[[-0.28365064]],[[-0.3028947]]
51,[[0.7030765]],[[0.67265916]]
52,[[-0.4813646]],[[-0.49960232]]
53,[[-1.1664536]],[[-1.2264174]]
54,[[2.2591755]],[[2.2449863]]
55,[[0.40549213]],[[0.29771948]]
56,[[-0.1012305]],[[-0.04756546]]
57,[[-0.5075299]],[[-0.57940096]]
58,[[-0.79203165]],[[-0.83476144]]
59,[[1.1331458]],[[1.1168242]]
60,[[-1.0796658]],[[-1.0952177]]
61,[[0.9623342]],[[0.92088914]]
62,[[1.1425432]],[[1.1007285]]
63,[[0.91037214]],[[0.8769982]]
64,[[-0.12702729]],[[-0.14573717]]
65,[[0.7157906]],[[0.6588793]]
66,[[-1.3319216]],[[-1.3505133]]
67,[[-0.45335665]],[[-0.4647081]]
68,[[-0.27130502]],[[-0.33914447]]
69,[[0.7777029]],[[0.71549463]]
70,[[0.7800983]],[[0.7300799]]
