,0,1
0,[[0.6700935]],[[0.62151957]]
1,[[-1.0464985]],[[-1.0207815]]
2,[[0.53816134]],[[0.5844374]]
3,[[-0.70929766]],[[-0.7722685]]
4,[[1.0214826]],[[0.95165277]]
5,[[1.564505]],[[1.5331013]]
6,[[-0.3260311]],[[-0.39878798]]
7,[[-1.1581618]],[[-1.2059973]]
8,[[-0.5416185]],[[-0.6024615]]
9,[[1.4631604]],[[1.4389472]]
10,[[-1.1810104]],[[-1.1817408]]
11,[[-0.99766886]],[[-0.9868946]]
12,[[0.88586515]],[[0.8137524]]
13,[[1.5127271]],[[1.4683821]]
14,[[0.5840427]],[[0.6024718]]
15,[[-1.3803827]],[[-1.3671539]]
16,[[1.1913729]],[[1.1512339]]
17,[[-1.1017773]],[[-1.162151]]
18,[[-1.003381]],[[-1.06612]]
19,[[-1.0944068]],[[-1.1683499]]
20,[[1.0411987]],[[0.96973085]]
21,[[-0.16756509]],[[-0.02147889]]
22,[[0.60873395]],[[0.6323805]]
23,[[2.0896537]],[[2.0928056]]
24,[[0.7467468]],[[0.7710836]]
25,[[-1.0262296]],[[-1.0683894]]
26,[[-0.43658873]],[[-0.4603541]]
27,[[0.8958154]],[[0.9991646]]
28,[[1.1020054]],[[1.0597048]]
29,[[-1.0665832]],[[-1.1294559]]
30,[[-1.1826687]],[[-1.2608225]]
31,[[-0.5799452]],[[-0.4794984]]
32,[[-0.27628013]],[[-0.28669763]]
33,[[0.6916522]],[[0.7676146]]
34,[[0.8864179]],[[0.83160377]]
35,[[0.57317126]],[[0.6471677]]
36,[[-0.5471464]],[[-0.51463044]]
37,[[-1.115597]],[[-1.1191139]]
38,[[0.5748296]],[[0.5504377]]
39,[[1.8637477]],[[1.8527832]]
40,[[1.6916462]],[[1.5992188]]
41,[[-1.150607]],[[-1.1293343]]
42,[[-0.8917178]],[[-0.9554385]]
43,[[-0.21621047]],[[-0.22786045]]
44,[[-0.39144436]],[[-0.45500755]]
45,[[-0.9119867]],[[-0.89263225]]
46,[[1.2639724]],[[1.1935112]]
47,[[-0.80879956]],[[-0.83230084]]
48,[[-1.1692175]],[[-1.1730312]]
49,[[1.687961]],[[1.6444113]]
50,[[-0.28365064]],[[-0.28864408]]
51,[[0.7030765]],[[0.6820512]]
52,[[-0.4813646]],[[-0.4897591]]
53,[[-1.1664536]],[[-1.2186682]]
54,[[2.2591755]],[[2.2434998]]
55,[[0.40549213]],[[0.30258203]]
56,[[-0.1012305]],[[-0.03688383]]
57,[[-0.5075299]],[[-0.5729612]]
58,[[-0.79203165]],[[-0.8255256]]
59,[[1.1331458]],[[1.1261511]]
60,[[-1.0796658]],[[-1.0857222]]
61,[[0.9623342]],[[0.93038917]]
62,[[1.1425432]],[[1.1085374]]
63,[[0.91037214]],[[0.8808639]]
64,[[-0.12702729]],[[-0.13598967]]
65,[[0.7157906]],[[0.6708765]]
66,[[-1.3319216]],[[-1.343644]]
67,[[-0.45335665]],[[-0.45834672]]
68,[[-0.27130502]],[[-0.3330711]]
69,[[0.7777029]],[[0.719748]]
70,[[0.7800983]],[[0.7377589]]
