,0,1
0,[[0.6700935]],[[0.61571956]]
1,[[-1.0464985]],[[-1.0236046]]
2,[[0.53816134]],[[0.57784677]]
3,[[-0.70929766]],[[-0.76484436]]
4,[[1.0214826]],[[0.9548726]]
5,[[1.564505]],[[1.5439904]]
6,[[-0.3260311]],[[-0.40258884]]
7,[[-1.1581618]],[[-1.2037911]]
8,[[-0.5416185]],[[-0.60625416]]
9,[[1.4631604]],[[1.4373798]]
10,[[-1.1810104]],[[-1.1843086]]
11,[[-0.99766886]],[[-0.9941414]]
12,[[0.88586515]],[[0.82290745]]
13,[[1.5127271]],[[1.4765868]]
14,[[0.5840427]],[[0.60784054]]
15,[[-1.3803827]],[[-1.3727057]]
16,[[1.1913729]],[[1.1439922]]
17,[[-1.1017773]],[[-1.1667209]]
18,[[-1.003381]],[[-1.055267]]
19,[[-1.0944068]],[[-1.1718891]]
20,[[1.0411987]],[[0.97500324]]
21,[[-0.16756509]],[[-0.23600006]]
22,[[0.60873395]],[[0.6337116]]
23,[[2.0896537]],[[2.107755]]
24,[[0.7467468]],[[0.76950383]]
25,[[-1.0262296]],[[-1.0562586]]
26,[[-0.43658873]],[[-0.4464929]]
27,[[0.8958154]],[[0.99658394]]
28,[[1.1020054]],[[1.0638018]]
29,[[-1.0665832]],[[-1.1337813]]
30,[[-1.1826687]],[[-1.2569263]]
31,[[-0.5799452]],[[-0.4765221]]
32,[[-0.27628013]],[[-0.27428412]]
33,[[0.6916522]],[[0.7698612]]
34,[[0.8864179]],[[0.84424734]]
35,[[0.57317126]],[[0.6579535]]
36,[[-0.5471464]],[[-0.5133352]]
37,[[-1.115597]],[[-1.1234089]]
38,[[0.5748296]],[[0.5543163]]
39,[[1.8637477]],[[1.8483577]]
40,[[1.6916462]],[[1.6136808]]
41,[[-1.150607]],[[-1.1278722]]
42,[[-0.8917178]],[[-0.9542873]]
43,[[-0.21621047]],[[-0.22739387]]
44,[[-0.39144436]],[[-0.45207524]]
45,[[-0.9119867]],[[-0.9014449]]
46,[[1.2639724]],[[1.2084577]]
47,[[-0.80879956]],[[-0.8150151]]
48,[[-1.1692175]],[[-1.1809053]]
49,[[1.687961]],[[1.6524498]]
50,[[-0.28365064]],[[-0.30229092]]
51,[[0.7030765]],[[0.678092]]
52,[[-0.4813646]],[[-0.48104572]]
53,[[-1.1664536]],[[-1.2188851]]
54,[[2.2591755]],[[2.252429]]
55,[[0.40549213]],[[0.30563307]]
56,[[-0.1012305]],[[-0.01497519]]
57,[[-0.5075299]],[[-0.555067]]
58,[[-0.79203165]],[[-0.82853097]]
59,[[1.1331458]],[[1.1225874]]
60,[[-1.0796658]],[[-1.066378]]
61,[[0.9623342]],[[0.92474174]]
62,[[1.1425432]],[[1.122735]]
63,[[0.91037214]],[[0.8836074]]
64,[[-0.12702729]],[[-0.12411141]]
65,[[0.7157906]],[[0.6716125]]
66,[[-1.3319216]],[[-1.3525343]]
67,[[-0.45335665]],[[-0.44863105]]
68,[[-0.27130502]],[[-0.32932281]]
69,[[0.7777029]],[[0.7218425]]
70,[[0.7800983]],[[0.7435186]]
