,0,1
0,[[0.6700935]],[[0.60161495]]
1,[[-1.0464985]],[[-1.0087767]]
2,[[0.53816134]],[[0.6093402]]
3,[[-0.70929766]],[[-0.7235431]]
4,[[1.0214826]],[[0.9220197]]
5,[[1.564505]],[[1.5792909]]
6,[[-0.3260311]],[[-0.37686384]]
7,[[-1.1581618]],[[-1.1959591]]
8,[[-0.5416185]],[[-0.56360114]]
9,[[1.4631604]],[[1.5191052]]
10,[[-1.1810104]],[[-1.1863905]]
11,[[-0.99766886]],[[-0.92164177]]
12,[[0.88586515]],[[0.8098893]]
13,[[1.5127271]],[[1.4569309]]
14,[[0.5840427]],[[0.5519166]]
15,[[-1.3803827]],[[-1.4297168]]
16,[[1.1913729]],[[1.1439028]]
17,[[-1.1017773]],[[-1.159641]]
18,[[-1.003381]],[[-1.049998]]
19,[[-1.0944068]],[[-1.1569116]]
20,[[1.0411987]],[[1.015054]]
21,[[-0.16756509]],[[-0.28463006]]
22,[[0.60873395]],[[0.67691374]]
23,[[2.0896537]],[[2.132759]]
24,[[0.7467468]],[[0.8346777]]
25,[[-1.0262296]],[[-1.0292943]]
26,[[-0.43658873]],[[-0.5505898]]
27,[[0.8958154]],[[0.95839596]]
28,[[1.1020054]],[[1.0984342]]
29,[[-1.0665832]],[[-1.0900717]]
30,[[-1.1826687]],[[-1.2468979]]
31,[[-0.5799452]],[[-0.4909339]]
32,[[-0.27628013]],[[-0.24438679]]
33,[[0.6916522]],[[0.69734406]]
34,[[0.8864179]],[[0.847769]]
35,[[0.57317126]],[[0.59530234]]
36,[[-0.5471464]],[[-0.49258852]]
37,[[-1.115597]],[[-1.1021769]]
38,[[0.5748296]],[[0.55595994]]
39,[[1.8637477]],[[1.8551636]]
40,[[1.6916462]],[[1.5729113]]
41,[[-1.150607]],[[-1.031565]]
42,[[-0.8917178]],[[-0.9280064]]
43,[[-0.21621047]],[[-0.20126522]]
44,[[-0.39144436]],[[-0.4323467]]
45,[[-0.9119867]],[[-0.9016631]]
46,[[1.2639724]],[[1.2623672]]
47,[[-0.80879956]],[[-0.8018047]]
48,[[-1.1692175]],[[-1.131491]]
49,[[1.687961]],[[1.7173424]]
50,[[-0.28365064]],[[-0.35869384]]
51,[[0.7030765]],[[0.6355305]]
52,[[-0.4813646]],[[-0.4742397]]
53,[[-1.1664536]],[[-1.1685731]]
54,[[2.2591755]],[[2.276945]]
55,[[0.40549213]],[[0.38979065]]
56,[[-0.1012305]],[[0.03614461]]
57,[[-0.5075299]],[[-0.48337328]]
58,[[-0.79203165]],[[-0.8135248]]
59,[[1.1331458]],[[1.1403193]]
60,[[-1.0796658]],[[-1.0469368]]
61,[[0.9623342]],[[0.9243691]]
62,[[1.1425432]],[[1.2015519]]
63,[[0.91037214]],[[0.9401319]]
64,[[-0.12702729]],[[-0.12546194]]
65,[[0.7157906]],[[0.7785244]]
66,[[-1.3319216]],[[-1.2934343]]
67,[[-0.45335665]],[[-0.4490826]]
68,[[-0.27130502]],[[-0.29948163]]
69,[[0.7777029]],[[0.7345743]]
70,[[0.7800983]],[[0.75533247]]
